"Notes"	"Census Region"	"Census Region Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2018"	"2018"	"Male"	"M"	199	1190748	16.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2019"	"2019"	"Female"	"F"	109	1658018	6.6
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2019"	"2019"	"Male"	"M"	109	1229637	8.9
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2020 "	"2020"	"Female"	"F"	130	1691363	7.7
	"Census Region 1: Northeast"	"CENS-R1"	"75-84 years"	"75-84"	"2020 "	"2020"	"Male"	"M"	123	1260070	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2011"	"2011"	"Female"	"F"	94	846082	11.1
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2011"	"2011"	"Male"	"M"	47	394077	11.9
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2012"	"2012"	"Female"	"F"	58	858625	6.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2012"	"2012"	"Male"	"M"	40	406165	9.8
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2013"	"2013"	"Female"	"F"	243	871758	27.9
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2013"	"2013"	"Male"	"M"	144	420222	34.3
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2014"	"2014"	"Female"	"F"	133	876012	15.2
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2014"	"2014"	"Male"	"M"	66	428350	15.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2015"	"2015"	"Female"	"F"	505	880345	57.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2015"	"2015"	"Male"	"M"	255	436402	58.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2016"	"2016"	"Female"	"F"	93	883134	10.5
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2016"	"2016"	"Male"	"M"	40	441443	9.1
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2017"	"2017"	"Female"	"F"	372	899374	41.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2017"	"2017"	"Male"	"M"	182	454529	40.0
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2018"	"2018"	"Female"	"F"	594	894051	66.4
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2018"	"2018"	"Male"	"M"	344	456707	75.3
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2019"	"2019"	"Female"	"F"	242	889464	27.2
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2019"	"2019"	"Male"	"M"	148	462596	32.0
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2020 "	"2020"	"Female"	"F"	206	882646	23.3
	"Census Region 1: Northeast"	"CENS-R1"	"85+ years"	"85+"	"2020 "	"2020"	"Male"	"M"	128	462345	27.7
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2011"	"2011"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2011"	"2011"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2012"	"2012"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2012"	"2012"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2013"	"2013"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2013"	"2013"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2014"	"2014"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2014"	"2014"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2015"	"2015"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2015"	"2015"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2016"	"2016"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2016"	"2016"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2017"	"2017"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2017"	"2017"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2018"	"2018"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2018"	"2018"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2019"	"2019"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2019"	"2019"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2020 "	"2020"	"Female"	"F"	Suppressed	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"Not Stated"	"NS"	"2020 "	"2020"	"Male"	"M"	Suppressed	Not Applicable	Not Applicable
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2011"	"2011"	"Female"	"F"	Suppressed	410619	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2011"	"2011"	"Male"	"M"	Suppressed	429491	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2012"	"2012"	"Female"	"F"	Suppressed	401691	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2012"	"2012"	"Male"	"M"	Suppressed	421076	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2013"	"2013"	"Female"	"F"	Suppressed	402721	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2013"	"2013"	"Male"	"M"	Suppressed	422544	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2014"	"2014"	"Female"	"F"	Suppressed	403814	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2014"	"2014"	"Male"	"M"	Suppressed	423171	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2015"	"2015"	"Female"	"F"	Suppressed	406066	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2015"	"2015"	"Male"	"M"	Suppressed	426193	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2016"	"2016"	"Female"	"F"	Suppressed	403819	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2016"	"2016"	"Male"	"M"	Suppressed	423389	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2017"	"2017"	"Female"	"F"	Suppressed	400245	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2017"	"2017"	"Male"	"M"	Suppressed	419284	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2018"	"2018"	"Female"	"F"	Suppressed	391445	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2018"	"2018"	"Male"	"M"	Suppressed	409882	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2019"	"2019"	"Female"	"F"	Suppressed	385396	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2019"	"2019"	"Male"	"M"	Suppressed	403780	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2020 "	"2020"	"Female"	"F"	Suppressed	381835	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"< 1 year"	"1"	"2020 "	"2020"	"Male"	"M"	Suppressed	399115	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2011"	"2011"	"Female"	"F"	Suppressed	1686173	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2011"	"2011"	"Male"	"M"	Suppressed	1756822	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2012"	"2012"	"Female"	"F"	Suppressed	1665751	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2012"	"2012"	"Male"	"M"	Suppressed	1739224	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2013"	"2013"	"Female"	"F"	Suppressed	1641631	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2013"	"2013"	"Male"	"M"	Suppressed	1719278	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2014"	"2014"	"Female"	"F"	Suppressed	1633445	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2014"	"2014"	"Male"	"M"	Suppressed	1712690	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2015"	"2015"	"Female"	"F"	Suppressed	1630744	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2015"	"2015"	"Male"	"M"	Suppressed	1708916	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2016"	"2016"	"Female"	"F"	Suppressed	1633673	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2016"	"2016"	"Male"	"M"	Suppressed	1712467	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2017"	"2017"	"Female"	"F"	Suppressed	1637695	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2017"	"2017"	"Male"	"M"	Suppressed	1715659	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2018"	"2018"	"Female"	"F"	Suppressed	1632197	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2018"	"2018"	"Male"	"M"	10	1712325	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2019"	"2019"	"Female"	"F"	Suppressed	1616986	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2019"	"2019"	"Male"	"M"	11	1693695	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2020 "	"2020"	"Female"	"F"	Suppressed	1594836	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"1-4 years"	"1-4"	"2020 "	"2020"	"Male"	"M"	Suppressed	1668442	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2011"	"2011"	"Female"	"F"	Suppressed	4351666	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2011"	"2011"	"Male"	"M"	Suppressed	4550117	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2012"	"2012"	"Female"	"F"	Suppressed	4346386	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2012"	"2012"	"Male"	"M"	Suppressed	4543608	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2013"	"2013"	"Female"	"F"	Suppressed	4338985	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2013"	"2013"	"Male"	"M"	Suppressed	4534191	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2014"	"2014"	"Female"	"F"	Suppressed	4314715	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2014"	"2014"	"Male"	"M"	Suppressed	4506697	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2015"	"2015"	"Female"	"F"	Suppressed	4283808	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2015"	"2015"	"Male"	"M"	Suppressed	4472383	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2016"	"2016"	"Female"	"F"	Suppressed	4249397	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2016"	"2016"	"Male"	"M"	Suppressed	4440972	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2017"	"2017"	"Female"	"F"	10	4235605	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2017"	"2017"	"Male"	"M"	10	4428338	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2018"	"2018"	"Female"	"F"	Suppressed	4224394	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2018"	"2018"	"Male"	"M"	Suppressed	4416743	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2019"	"2019"	"Female"	"F"	Suppressed	4203227	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2019"	"2019"	"Male"	"M"	Suppressed	4396849	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2020 "	"2020"	"Female"	"F"	Suppressed	4189717	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"5-14 years"	"5-14"	"2020 "	"2020"	"Male"	"M"	Suppressed	4382952	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2011"	"2011"	"Female"	"F"	Suppressed	4594247	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2011"	"2011"	"Male"	"M"	Suppressed	4795595	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2012"	"2012"	"Female"	"F"	Suppressed	4587889	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2012"	"2012"	"Male"	"M"	Suppressed	4793445	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2013"	"2013"	"Female"	"F"	Suppressed	4596880	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2013"	"2013"	"Male"	"M"	Suppressed	4801063	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2014"	"2014"	"Female"	"F"	Suppressed	4595443	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2014"	"2014"	"Male"	"M"	Suppressed	4794724	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2015"	"2015"	"Female"	"F"	Suppressed	4572934	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2015"	"2015"	"Male"	"M"	Suppressed	4778044	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2016"	"2016"	"Female"	"F"	Suppressed	4526979	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2016"	"2016"	"Male"	"M"	Suppressed	4748242	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2017"	"2017"	"Female"	"F"	Suppressed	4492018	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2017"	"2017"	"Male"	"M"	Suppressed	4706724	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2018"	"2018"	"Female"	"F"	Suppressed	4456286	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2018"	"2018"	"Male"	"M"	Suppressed	4660362	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2019"	"2019"	"Female"	"F"	Suppressed	4421182	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2019"	"2019"	"Male"	"M"	Suppressed	4618525	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2020 "	"2020"	"Female"	"F"	Suppressed	4393580	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"15-24 years"	"15-24"	"2020 "	"2020"	"Male"	"M"	Suppressed	4584588	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2011"	"2011"	"Female"	"F"	Suppressed	4315790	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2011"	"2011"	"Male"	"M"	Suppressed	4375276	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2012"	"2012"	"Female"	"F"	Suppressed	4337074	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2012"	"2012"	"Male"	"M"	Suppressed	4399989	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2013"	"2013"	"Female"	"F"	Suppressed	4354638	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2013"	"2013"	"Male"	"M"	Suppressed	4429243	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2014"	"2014"	"Female"	"F"	15	4377537	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2014"	"2014"	"Male"	"M"	12	4454640	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2015"	"2015"	"Female"	"F"	Suppressed	4391936	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2015"	"2015"	"Male"	"M"	Suppressed	4480292	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2016"	"2016"	"Female"	"F"	15	4412476	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2016"	"2016"	"Male"	"M"	Suppressed	4526590	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2017"	"2017"	"Female"	"F"	Suppressed	4437862	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2017"	"2017"	"Male"	"M"	Suppressed	4572080	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2018"	"2018"	"Female"	"F"	Suppressed	4462891	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2018"	"2018"	"Male"	"M"	16	4615283	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2019"	"2019"	"Female"	"F"	12	4472733	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2019"	"2019"	"Male"	"M"	13	4637812	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2020 "	"2020"	"Female"	"F"	20	4467819	0.4
	"Census Region 2: Midwest"	"CENS-R2"	"25-34 years"	"25-34"	"2020 "	"2020"	"Male"	"M"	21	4639331	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2011"	"2011"	"Female"	"F"	15	4215672	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2011"	"2011"	"Male"	"M"	Suppressed	4215080	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2012"	"2012"	"Female"	"F"	Suppressed	4177743	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2012"	"2012"	"Male"	"M"	Suppressed	4181881	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2013"	"2013"	"Female"	"F"	13	4160031	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2013"	"2013"	"Male"	"M"	10	4168489	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2014"	"2014"	"Female"	"F"	31	4147133	0.7
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2014"	"2014"	"Male"	"M"	39	4156941	0.9
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2015"	"2015"	"Female"	"F"	11	4134582	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2015"	"2015"	"Male"	"M"	Suppressed	4150249	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2016"	"2016"	"Female"	"F"	11	4103821	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2016"	"2016"	"Male"	"M"	24	4119878	0.6
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2017"	"2017"	"Female"	"F"	18	4123964	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2017"	"2017"	"Male"	"M"	12	4141875	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2018"	"2018"	"Female"	"F"	28	4161571	0.7
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2018"	"2018"	"Male"	"M"	24	4184136	0.6
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2019"	"2019"	"Female"	"F"	22	4193010	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2019"	"2019"	"Male"	"M"	14	4217278	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2020 "	"2020"	"Female"	"F"	24	4228324	0.6
	"Census Region 2: Midwest"	"CENS-R2"	"35-44 years"	"35-44"	"2020 "	"2020"	"Male"	"M"	20	4255074	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2011"	"2011"	"Female"	"F"	15	4958644	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2011"	"2011"	"Male"	"M"	15	4853885	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2012"	"2012"	"Female"	"F"	11	4866737	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2012"	"2012"	"Male"	"M"	Suppressed	4767974	Suppressed
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2013"	"2013"	"Female"	"F"	23	4761513	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2013"	"2013"	"Male"	"M"	27	4674409	0.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2014"	"2014"	"Female"	"F"	54	4672514	1.2
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2014"	"2014"	"Male"	"M"	66	4595886	1.4
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2015"	"2015"	"Female"	"F"	19	4589391	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2015"	"2015"	"Male"	"M"	22	4524013	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2016"	"2016"	"Female"	"F"	43	4498622	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2016"	"2016"	"Male"	"M"	44	4434726	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2017"	"2017"	"Female"	"F"	16	4406822	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2017"	"2017"	"Male"	"M"	25	4349680	0.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2018"	"2018"	"Female"	"F"	68	4296584	1.6
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2018"	"2018"	"Male"	"M"	60	4243088	1.4
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2019"	"2019"	"Female"	"F"	37	4189018	0.9
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2019"	"2019"	"Male"	"M"	61	4137916	1.5
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2020 "	"2020"	"Female"	"F"	48	4107106	1.2
	"Census Region 2: Midwest"	"CENS-R2"	"45-54 years"	"45-54"	"2020 "	"2020"	"Male"	"M"	60	4061693	1.5
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2011"	"2011"	"Female"	"F"	22	4328192	0.5
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2011"	"2011"	"Male"	"M"	27	4128046	0.7
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2012"	"2012"	"Female"	"F"	14	4387457	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2012"	"2012"	"Male"	"M"	10	4184726	Unreliable
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2013"	"2013"	"Female"	"F"	45	4479435	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2013"	"2013"	"Male"	"M"	43	4271526	1.0
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2014"	"2014"	"Female"	"F"	75	4553415	1.6
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2014"	"2014"	"Male"	"M"	105	4341902	2.4
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2015"	"2015"	"Female"	"F"	49	4624747	1.1
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2015"	"2015"	"Male"	"M"	39	4410680	0.9
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2016"	"2016"	"Female"	"F"	57	4669626	1.2
	"Census Region 2: Midwest"	"CENS-R2"	"55-64 years"	"55-64"	"2016"	"2016"	"Male"	"M"	80	4450118	1.8
